index,query,_id,_score,name,pathway,symbol,notfound
119,ENSG00000130958,11046,20.499474,solute carrier family 35 member D2,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1630316', 'name': 'Glycosaminoglycan metabolism'}, {'id': 'R-HSA-1638074', 'name': 'Keratan sulfate/keratin metabolism'}, {'id': 'R-HSA-1638091', 'name': 'Heparan sulfate/heparin (HS-GAG) metabolism'}, {'id': 'R-HSA-2022854', 'name': 'Keratan sulfate biosynthesis'}, {'id': 'R-HSA-2022928', 'name': 'HS-GAG biosynthesis'}, {'id': 'R-HSA-382551', 'name': 'Transport of small molecules'}, {'id': 'R-HSA-425397', 'name': 'Transport of vitamins, nucleosides, and related molecules'}, {'id': 'R-HSA-425407', 'name': 'SLC-mediated transmembrane transport'}, {'id': 'R-HSA-71387', 'name': 'Metabolism of carbohydrates'}, {'id': 'R-HSA-727802', 'name': 'Transport of nucleotide sugars'}]}",SLC35D2,
120,ENSG00000131368,64432,20.327745,mitochondrial ribosomal protein S25,"{'reactome': [{'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-5368286', 'name': 'Mitochondrial translation initiation'}, {'id': 'R-HSA-5368287', 'name': 'Mitochondrial translation'}, {'id': 'R-HSA-5368287', 'name': 'Mitochondrial translation'}, {'id': 'R-HSA-5389840', 'name': 'Mitochondrial translation elongation'}, {'id': 'R-HSA-5389840', 'name': 'Mitochondrial translation elongation'}, {'id': 'R-HSA-5419276', 'name': 'Mitochondrial translation termination'}, {'id': 'R-HSA-72766', 'name': 'Translation'}, {'id': 'R-HSA-72766', 'name': 'Translation'}]}",MRPS25,
122,ENSG00000001626,1080,19.674295,CF transmembrane conductance regulator,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-1643685', 'name': 'Disease'}, {'id': 'R-HSA-194315', 'name': 'Signaling by Rho GTPases'}, {'id': 'R-HSA-195258', 'name': 'RHO GTPase Effectors'}, {'id': 'R-HSA-199991', 'name': 'Membrane Trafficking'}, {'id': 'R-HSA-382551', 'name': 'Transport of small molecules'}, {'id': 'R-HSA-382556', 'name': 'ABC-family proteins mediated transport'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-5619084', 'name': 'ABC transporter disorders'}, {'id': 'R-HSA-5619115', 'name': 'Disorders of transmembrane transporters'}, {'id': 'R-HSA-5627083', 'name': 'RHO GTPases regulate CFTR trafficking'}, {'id': 'R-HSA-5653656', 'name': 'Vesicle-mediated transport'}, {'id': 'R-HSA-5678895', 'name': 'Defective CFTR causes cystic fibrosis'}, {'id': 'R-HSA-5688426', 'name': 'Deubiquitination'}, {'id': 'R-HSA-5689880', 'name': 'Ub-specific processing proteases'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}, {'id': 'R-HSA-8856825', 'name': 'Cargo recognition for clathrin-mediated endocytosis'}, {'id': 'R-HSA-8856828', 'name': 'Clathrin-mediated endocytosis'}, {'id': 'R-HSA-9612973', 'name': 'Autophagy'}, {'id': 'R-HSA-9613829', 'name': 'Chaperone Mediated Autophagy'}, {'id': 'R-HSA-9615710', 'name': 'Microautophagy'}]}",CFTR,
123,ENSG00000101160,1522,19.61366,cathepsin Z,"{'reactome': [{'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-199977', 'name': 'ER to Golgi Anterograde Transport'}, {'id': 'R-HSA-199991', 'name': 'Membrane Trafficking'}, {'id': 'R-HSA-199992', 'name': 'trans-Golgi Network Vesicle Budding'}, {'id': 'R-HSA-2022377', 'name': 'Metabolism of Angiotensinogen to Angiotensins'}, {'id': 'R-HSA-204005', 'name': 'COPII-mediated vesicle transport'}, {'id': 'R-HSA-2980736', 'name': 'Peptide hormone metabolism'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-432720', 'name': 'Lysosome Vesicle Biogenesis'}, {'id': 'R-HSA-446203', 'name': 'Asparagine N-linked glycosylation'}, {'id': 'R-HSA-5653656', 'name': 'Vesicle-mediated transport'}, {'id': 'R-HSA-5694530', 'name': 'Cargo concentration in the ER'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}, {'id': 'R-HSA-6798695', 'name': 'Neutrophil degranulation'}, {'id': 'R-HSA-948021', 'name': 'Transport to the Golgi and subsequent modification'}]}",CTSZ,
124,ENSG00000158201,171586,20.047476,abhydrolase domain containing 3,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1483191', 'name': 'Synthesis of PC'}, {'id': 'R-HSA-1483206', 'name': 'Glycerophospholipid biosynthesis'}, {'id': 'R-HSA-1483257', 'name': 'Phospholipid metabolism'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}]}",ABHD3,
126,ENSG00000042088,55775,19.57532,tyrosyl-DNA phosphodiesterase 1,"{'reactome': [{'id': 'R-HSA-5693532', 'name': 'DNA Double-Strand Break Repair'}, {'id': 'R-HSA-5693571', 'name': 'Nonhomologous End-Joining (NHEJ)'}, {'id': 'R-HSA-73894', 'name': 'DNA Repair'}]}",TDP1,
128,ENSG00000177189,6197,20.073084,ribosomal protein S6 kinase A3,"{'reactome': [{'id': 'R-HSA-112314', 'name': 'Neurotransmitter receptors and postsynaptic signal transmission'}, {'id': 'R-HSA-112314', 'name': 'Neurotransmitter receptors and postsynaptic signal transmission'}, {'id': 'R-HSA-112315', 'name': 'Transmission across Chemical Synapses'}, {'id': 'R-HSA-112315', 'name': 'Transmission across Chemical Synapses'}, {'id': 'R-HSA-112316', 'name': 'Neuronal System'}, {'id': 'R-HSA-112316', 'name': 'Neuronal System'}, {'id': 'R-HSA-1266738', 'name': 'Developmental Biology'}, {'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-166016', 'name': 'Toll Like Receptor 4 (TLR4) Cascade'}, {'id': 'R-HSA-166058', 'name': 'MyD88:MAL(TIRAP) cascade initiated on plasma membrane'}, {'id': 'R-HSA-166166', 'name': 'MyD88-independent TLR4 cascade '}, {'id': 'R-HSA-166520', 'name': 'Signaling by NTRKs'}, {'id': 'R-HSA-168138', 'name': 'Toll Like Receptor 9 (TLR9) Cascade'}, {'id': 'R-HSA-168142', 'name': 'Toll Like Receptor 10 (TLR10) Cascade'}, {'id': 'R-HSA-168164', 'name': 'Toll Like Receptor 3 (TLR3) Cascade'}, {'id': 'R-HSA-168176', 'name': 'Toll Like Receptor 5 (TLR5) Cascade'}, {'id': 'R-HSA-168179', 'name': 'Toll Like Receptor TLR1:TLR2 Cascade'}, {'id': 'R-HSA-168181', 'name': 'Toll Like Receptor 7/8 (TLR7/8) Cascade'}, {'id': 'R-HSA-168188', 'name': 'Toll Like Receptor TLR6:TLR2 Cascade'}, {'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-168898', 'name': 'Toll-like Receptor Cascades'}, {'id': 'R-HSA-181438', 'name': 'Toll Like Receptor 2 (TLR2) Cascade'}, {'id': 'R-HSA-187037', 'name': 'Signaling by NTRK1 (TRKA)'}, {'id': 'R-HSA-198725', 'name': 'Nuclear Events (kinase and transcription factor activation)'}, {'id': 'R-HSA-198753', 'name': 'ERK/MAPK targets'}, {'id': 'R-HSA-199920', 'name': 'CREB phosphorylation'}, {'id': 'R-HSA-2262752', 'name': 'Cellular responses to stress'}, {'id': 'R-HSA-2262752', 'name': 'Cellular responses to stress'}, {'id': 'R-HSA-2559582', 'name': 'Senescence-Associated Secretory Phenotype (SASP)'}, {'id': 'R-HSA-2559582', 'name': 'Senescence-Associated Secretory Phenotype (SASP)'}, {'id': 'R-HSA-2559583', 'name': 'Cellular Senescence'}, {'id': 'R-HSA-2559583', 'name': 'Cellular Senescence'}, {'id': 'R-HSA-372790', 'name': 'Signaling by GPCR'}, {'id': 'R-HSA-373760', 'name': 'L1CAM interactions'}, {'id': 'R-HSA-388396', 'name': 'GPCR downstream signalling'}, {'id': 'R-HSA-416476', 'name': 'G alpha (q) signalling events'}, {'id': 'R-HSA-422475', 'name': 'Axon guidance'}, {'id': 'R-HSA-437239', 'name': 'Recycling pathway of L1'}, {'id': 'R-HSA-438064', 'name': 'Post NMDA receptor activation events'}, {'id': 'R-HSA-438064', 'name': 'Post NMDA receptor activation events'}, {'id': 'R-HSA-442742', 'name': 'CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling'}, {'id': 'R-HSA-442742', 'name': 'CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling'}, {'id': 'R-HSA-442755', 'name': 'Activation of NMDA receptors and postsynaptic events'}, {'id': 'R-HSA-442755', 'name': 'Activation of NMDA receptors and postsynaptic events'}, {'id': 'R-HSA-444257', 'name': 'RSK activation'}, {'id': 'R-HSA-444257', 'name': 'RSK activation'}, {'id': 'R-HSA-448424', 'name': 'Interleukin-17 signaling'}, {'id': 'R-HSA-449147', 'name': 'Signaling by Interleukins'}, {'id': 'R-HSA-450282', 'name': 'MAPK targets/ Nuclear events mediated by MAP kinases'}, {'id': 'R-HSA-450294', 'name': 'MAP kinase activation'}, {'id': 'R-HSA-881907', 'name': 'Gastrin-CREB signalling pathway via PKC and MAPK'}, {'id': 'R-HSA-8953897', 'name': 'Cellular responses to external stimuli'}, {'id': 'R-HSA-8953897', 'name': 'Cellular responses to external stimuli'}, {'id': 'R-HSA-9006934', 'name': 'Signaling by Receptor Tyrosine Kinases'}, {'id': 'R-HSA-937061', 'name': 'TRIF(TICAM1)-mediated TLR4 signaling '}, {'id': 'R-HSA-975138', 'name': 'TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation'}, {'id': 'R-HSA-975155', 'name': 'MyD88 dependent cascade initiated on endosome'}, {'id': 'R-HSA-975871', 'name': 'MyD88 cascade initiated on plasma membrane'}]}",RPS6KA3,
133,ENSG00000104081,90427,20.080383,Bcl2 modifying factor,"{'reactome': [{'id': 'R-HSA-109581', 'name': 'Apoptosis'}, {'id': 'R-HSA-109606', 'name': 'Intrinsic Pathway for Apoptosis'}, {'id': 'R-HSA-111453', 'name': 'BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members'}, {'id': 'R-HSA-114452', 'name': 'Activation of BH3-only proteins'}, {'id': 'R-HSA-139910', 'name': 'Activation of BMF and translocation to mitochondria'}, {'id': 'R-HSA-5357801', 'name': 'Programmed Cell Death'}]}",BMF,
136,ENSG00000124107,6590,20.080425,secretory leukocyte peptidase inhibitor,"{'reactome': [{'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-6798695', 'name': 'Neutrophil degranulation'}]}",SLPI,
137,ENSG00000114812,7433,19.977942,vasoactive intestinal peptide receptor 1,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-372790', 'name': 'Signaling by GPCR'}, {'id': 'R-HSA-373080', 'name': 'Class B/2 (Secretin family receptors)'}, {'id': 'R-HSA-388396', 'name': 'GPCR downstream signalling'}, {'id': 'R-HSA-418555', 'name': 'G alpha (s) signalling events'}, {'id': 'R-HSA-420092', 'name': 'Glucagon-type ligand receptors'}, {'id': 'R-HSA-500792', 'name': 'GPCR ligand binding'}]}",VIPR1,
138,ENSG00000176894,5827,20.14466,peroxisomal membrane protein 2,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-389661', 'name': 'Glyoxylate metabolism and glycine degradation'}, {'id': 'R-HSA-71291', 'name': 'Metabolism of amino acids and derivatives'}, {'id': 'R-HSA-9603798', 'name': 'Class I peroxisomal membrane protein import'}, {'id': 'R-HSA-9609507', 'name': 'Protein localization'}]}",PXMP2,
139,ENSG00000197296,128486,20.002373,fat storage inducing transmembrane protein 2,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}, {'id': 'R-HSA-8964572', 'name': 'Lipid particle organization'}]}",FITM2,
140,ENSG00000006534,221,20.073238,aldehyde dehydrogenase 3 family member B1,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1660661', 'name': 'Sphingolipid de novo biosynthesis'}, {'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-428157', 'name': 'Sphingolipid metabolism'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}, {'id': 'R-HSA-6798695', 'name': 'Neutrophil degranulation'}]}",ALDH3B1,
141,ENSG00000152661,2697,19.594473,gap junction protein alpha 1,"{'reactome': [{'id': 'R-HSA-157858', 'name': 'Gap junction trafficking and regulation'}, {'id': 'R-HSA-157858', 'name': 'Gap junction trafficking and regulation'}, {'id': 'R-HSA-190704', 'name': 'Oligomerization of connexins into connexons'}, {'id': 'R-HSA-190827', 'name': 'Transport of connexins along the secretory pathway'}, {'id': 'R-HSA-190828', 'name': 'Gap junction trafficking'}, {'id': 'R-HSA-190828', 'name': 'Gap junction trafficking'}, {'id': 'R-HSA-190840', 'name': 'Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane'}, {'id': 'R-HSA-190861', 'name': 'Gap junction assembly'}, {'id': 'R-HSA-190861', 'name': 'Gap junction assembly'}, {'id': 'R-HSA-190872', 'name': 'Transport of connexons to the plasma membrane'}, {'id': 'R-HSA-190873', 'name': 'Gap junction degradation'}, {'id': 'R-HSA-191650', 'name': 'Regulation of gap junction activity'}, {'id': 'R-HSA-191650', 'name': 'Regulation of gap junction activity'}, {'id': 'R-HSA-196025', 'name': 'Formation of annular gap junctions'}, {'id': 'R-HSA-199991', 'name': 'Membrane Trafficking'}, {'id': 'R-HSA-199991', 'name': 'Membrane Trafficking'}, {'id': 'R-HSA-5653656', 'name': 'Vesicle-mediated transport'}, {'id': 'R-HSA-5653656', 'name': 'Vesicle-mediated transport'}]}",GJA1,
142,ENSG00000160867,2264,19.957363,fibroblast growth factor receptor 4,"{'reactome': [{'id': 'R-HSA-109704', 'name': 'PI3K Cascade'}, {'id': 'R-HSA-112399', 'name': 'IRS-mediated signalling'}, {'id': 'R-HSA-1226099', 'name': 'Signaling by FGFR in disease'}, {'id': 'R-HSA-1257604', 'name': 'PIP3 activates AKT signaling'}, {'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-1307965', 'name': 'betaKlotho-mediated ligand binding'}, {'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-1643685', 'name': 'Disease'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-1839128', 'name': 'FGFR4 mutant receptor activation'}, {'id': 'R-HSA-190236', 'name': 'Signaling by FGFR'}, {'id': 'R-HSA-190322', 'name': 'FGFR4 ligand binding and activation'}, {'id': 'R-HSA-199418', 'name': 'Negative regulation of the PI3K/AKT network'}, {'id': 'R-HSA-2219528', 'name': 'PI3K/AKT Signaling in Cancer'}, {'id': 'R-HSA-2219530', 'name': 'Constitutive Signaling by Aberrant PI3K in Cancer'}, {'id': 'R-HSA-2404192', 'name': 'Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)'}, {'id': 'R-HSA-2428924', 'name': 'IGF1R signaling cascade'}, {'id': 'R-HSA-2428928', 'name': 'IRS-related events triggered by IGF1R'}, {'id': 'R-HSA-5654228', 'name': 'Phospholipase C-mediated cascade; FGFR4'}, {'id': 'R-HSA-5654712', 'name': 'FRS-mediated FGFR4 signaling'}, {'id': 'R-HSA-5654716', 'name': 'Downstream signaling of activated FGFR4'}, {'id': 'R-HSA-5654719', 'name': 'SHC-mediated cascade:FGFR4'}, {'id': 'R-HSA-5654720', 'name': 'PI-3K cascade:FGFR4'}, {'id': 'R-HSA-5654733', 'name': 'Negative regulation of FGFR4 signaling'}, {'id': 'R-HSA-5654743', 'name': 'Signaling by FGFR4'}, {'id': 'R-HSA-5655291', 'name': 'Signaling by FGFR4 in disease'}, {'id': 'R-HSA-5663202', 'name': 'Diseases of signal transduction'}, {'id': 'R-HSA-5673001', 'name': 'RAF/MAP kinase cascade'}, {'id': 'R-HSA-5683057', 'name': 'MAPK family signaling cascades'}, {'id': 'R-HSA-5684996', 'name': 'MAPK1/MAPK3 signaling'}, {'id': 'R-HSA-6811558', 'name': 'PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling'}, {'id': 'R-HSA-74751', 'name': 'Insulin receptor signalling cascade'}, {'id': 'R-HSA-74752', 'name': 'Signaling by Insulin receptor'}, {'id': 'R-HSA-9006925', 'name': 'Intracellular signaling by second messengers'}, {'id': 'R-HSA-9006934', 'name': 'Signaling by Receptor Tyrosine Kinases'}, {'id': 'R-HSA-9607240', 'name': 'FLT3 Signaling'}]}",FGFR4,
144,ENSG00000165389,171546,20.5947,serine palmitoyltransferase small subunit A,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1660661', 'name': 'Sphingolipid de novo biosynthesis'}, {'id': 'R-HSA-428157', 'name': 'Sphingolipid metabolism'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}]}",SPTSSA,
145,ENSG00000181610,51649,19.984028,mitochondrial ribosomal protein S23,"{'reactome': [{'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-5368286', 'name': 'Mitochondrial translation initiation'}, {'id': 'R-HSA-5368287', 'name': 'Mitochondrial translation'}, {'id': 'R-HSA-5368287', 'name': 'Mitochondrial translation'}, {'id': 'R-HSA-5389840', 'name': 'Mitochondrial translation elongation'}, {'id': 'R-HSA-5389840', 'name': 'Mitochondrial translation elongation'}, {'id': 'R-HSA-5419276', 'name': 'Mitochondrial translation termination'}, {'id': 'R-HSA-72766', 'name': 'Translation'}, {'id': 'R-HSA-72766', 'name': 'Translation'}]}",MRPS23,
146,ENSG00000124225,56937,20.594769,"prostate transmembrane protein, androgen induced 1","{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-170834', 'name': 'Signaling by TGF-beta Receptor Complex'}, {'id': 'R-HSA-2173788', 'name': 'Downregulation of TGF-beta receptor signaling'}, {'id': 'R-HSA-2173789', 'name': 'TGF-beta receptor signaling activates SMADs'}, {'id': 'R-HSA-9006936', 'name': 'Signaling by TGF-beta family members'}]}",PMEPA1,
147,ENSG00000133794,406,19.598196,aryl hydrocarbon receptor nuclear translocator like,"{'reactome': [{'id': 'R-HSA-1368108', 'name': 'BMAL1:CLOCK,NPAS2 activates circadian gene expression'}, {'id': 'R-HSA-1368108', 'name': 'BMAL1:CLOCK,NPAS2 activates circadian gene expression'}, {'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1989781', 'name': 'PPARA activates gene expression'}, {'id': 'R-HSA-400206', 'name': 'Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)'}, {'id': 'R-HSA-400253', 'name': 'Circadian Clock'}, {'id': 'R-HSA-400253', 'name': 'Circadian Clock'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}]}",ARNTL,
148,ENSG00000134324,23175,20.569008,lipin 1,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1483191', 'name': 'Synthesis of PC'}, {'id': 'R-HSA-1483206', 'name': 'Glycerophospholipid biosynthesis'}, {'id': 'R-HSA-1483213', 'name': 'Synthesis of PE'}, {'id': 'R-HSA-1483257', 'name': 'Phospholipid metabolism'}, {'id': 'R-HSA-1640170', 'name': 'Cell Cycle'}, {'id': 'R-HSA-2980766', 'name': 'Nuclear Envelope Breakdown'}, {'id': 'R-HSA-4419969', 'name': 'Depolymerisation of the Nuclear Lamina'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}, {'id': 'R-HSA-68875', 'name': 'Mitotic Prophase'}, {'id': 'R-HSA-68886', 'name': 'M Phase'}, {'id': 'R-HSA-69278', 'name': 'Cell Cycle, Mitotic'}, {'id': 'R-HSA-75109', 'name': 'Triglyceride biosynthesis'}, {'id': 'R-HSA-8979227', 'name': 'Triglyceride metabolism'}]}",LPIN1,
149,ENSG00000186350,6256,19.027979,retinoid X receptor alpha,"{'reactome': [{'id': 'R-HSA-1266738', 'name': 'Developmental Biology'}, {'id': 'R-HSA-1266738', 'name': 'Developmental Biology'}, {'id': 'R-HSA-1368082', 'name': 'RORA activates gene expression'}, {'id': 'R-HSA-1368108', 'name': 'BMAL1:CLOCK,NPAS2 activates circadian gene expression'}, {'id': 'R-HSA-1428517', 'name': 'The citric acid (TCA) cycle and respiratory electron transport'}, {'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1592230', 'name': 'Mitochondrial biogenesis'}, {'id': 'R-HSA-159418', 'name': 'Recycling of bile acids and salts'}, {'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-1655829', 'name': 'Regulation of cholesterol biosynthesis by SREBP (SREBF)'}, {'id': 'R-HSA-1852241', 'name': 'Organelle biogenesis and maintenance'}, {'id': 'R-HSA-192105', 'name': 'Synthesis of bile acids and bile salts'}, {'id': 'R-HSA-193368', 'name': 'Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol'}, {'id': 'R-HSA-193807', 'name': 'Synthesis of bile acids and bile salts via 27-hydroxycholesterol'}, {'id': 'R-HSA-194068', 'name': 'Bile acid and bile salt metabolism'}, {'id': 'R-HSA-1989781', 'name': 'PPARA activates gene expression'}, {'id': 'R-HSA-1989781', 'name': 'PPARA activates gene expression'}, {'id': 'R-HSA-200425', 'name': 'Import of palmitoyl-CoA into the mitochondrial matrix'}, {'id': 'R-HSA-204174', 'name': 'Regulation of pyruvate dehydrogenase (PDH) complex'}, {'id': 'R-HSA-211859', 'name': 'Biological oxidations'}, {'id': 'R-HSA-211897', 'name': 'Cytochrome P450 - arranged by substrate type'}, {'id': 'R-HSA-211945', 'name': 'Phase I - Functionalization of compounds'}, {'id': 'R-HSA-211976', 'name': 'Endogenous sterols'}, {'id': 'R-HSA-212436', 'name': 'Generic Transcription Pathway'}, {'id': 'R-HSA-2151201', 'name': 'Transcriptional activation of mitochondrial biogenesis'}, {'id': 'R-HSA-2426168', 'name': 'Activation of gene expression by SREBF (SREBP)'}, {'id': 'R-HSA-2990846', 'name': 'SUMOylation'}, {'id': 'R-HSA-3108232', 'name': 'SUMO E3 ligases SUMOylate target proteins'}, {'id': 'R-HSA-381340', 'name': 'Transcriptional regulation of white adipocyte differentiation'}, {'id': 'R-HSA-381340', 'name': 'Transcriptional regulation of white adipocyte differentiation'}, {'id': 'R-HSA-383280', 'name': 'Nuclear Receptor transcription pathway'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-400206', 'name': 'Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)'}, {'id': 'R-HSA-400206', 'name': 'Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)'}, {'id': 'R-HSA-400253', 'name': 'Circadian Clock'}, {'id': 'R-HSA-400253', 'name': 'Circadian Clock'}, {'id': 'R-HSA-4090294', 'name': 'SUMOylation of intracellular receptors'}, {'id': 'R-HSA-5362517', 'name': 'Signaling by Retinoic Acid'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}, {'id': 'R-HSA-5617472', 'name': 'Activation of anterior HOX genes in hindbrain development during early embryogenesis'}, {'id': 'R-HSA-5619507', 'name': 'Activation of HOX genes during differentiation'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}, {'id': 'R-HSA-70268', 'name': 'Pyruvate metabolism'}, {'id': 'R-HSA-71406', 'name': 'Pyruvate metabolism and Citric Acid (TCA) cycle'}, {'id': 'R-HSA-73857', 'name': 'RNA Polymerase II Transcription'}, {'id': 'R-HSA-74160', 'name': 'Gene expression (Transcription)'}, {'id': 'R-HSA-8957322', 'name': 'Metabolism of steroids'}, {'id': 'R-HSA-8978868', 'name': 'Fatty acid metabolism'}, {'id': 'R-HSA-9006931', 'name': 'Signaling by Nuclear Receptors'}, {'id': 'R-HSA-9024446', 'name': 'NR1H2 and NR1H3-mediated signaling'}, {'id': 'R-HSA-9029558', 'name': 'NR1H2 & NR1H3 regulate gene expression linked to lipogenesis'}, {'id': 'R-HSA-9029569', 'name': 'NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux'}, {'id': 'R-HSA-9031525', 'name': 'NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake '}, {'id': 'R-HSA-9031528', 'name': 'NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose'}, {'id': 'R-HSA-9616222', 'name': 'Transcriptional regulation of granulopoiesis'}, {'id': 'R-HSA-9616222', 'name': 'Transcriptional regulation of granulopoiesis'}, {'id': 'R-HSA-9623433', 'name': 'NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis'}, {'id': 'R-HSA-9632974', 'name': 'NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis '}]}",RXRA,
150,ENSG00000060762,51660,21.119526,mitochondrial pyruvate carrier 1,"{'reactome': [{'id': 'R-HSA-1428517', 'name': 'The citric acid (TCA) cycle and respiratory electron transport'}, {'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-70268', 'name': 'Pyruvate metabolism'}, {'id': 'R-HSA-71406', 'name': 'Pyruvate metabolism and Citric Acid (TCA) cycle'}]}",MPC1,
153,ENSG00000156966,93010,20.145567,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1630316', 'name': 'Glycosaminoglycan metabolism'}, {'id': 'R-HSA-1638074', 'name': 'Keratan sulfate/keratin metabolism'}, {'id': 'R-HSA-2022854', 'name': 'Keratan sulfate biosynthesis'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-5173105', 'name': 'O-linked glycosylation'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}, {'id': 'R-HSA-71387', 'name': 'Metabolism of carbohydrates'}, {'id': 'R-HSA-913709', 'name': 'O-linked glycosylation of mucins'}]}",B3GNT7,
155,ENSG00000100605,3705,20.590776,inositol-tetrakisphosphate 1-kinase,"{'reactome': [{'id': 'R-HSA-109582', 'name': 'Hemostasis'}, {'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1483249', 'name': 'Inositol phosphate metabolism'}, {'id': 'R-HSA-1855167', 'name': 'Synthesis of pyrophosphates in the cytosol'}, {'id': 'R-HSA-1855204', 'name': 'Synthesis of IP3 and IP4 in the cytosol'}, {'id': 'R-HSA-983231', 'name': 'Factors involved in megakaryocyte development and platelet production'}]}",ITPK1,
